	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/7/2010	 -0.22	  $              50,000	 714	  $            (1,886)	  	  
6/8/2010	 0.46	  $              48,114	 687	  $              3,794	  	  
6/9/2010	 0.90	  $              51,908	 742	  $              8,009	  	  
6/10/2010	 -0.31	  $              59,917	 856	  $            (3,184)	  	  
6/11/2010	 -0.27	  $              56,733	 810	  $            (2,626)	  	  
 	  	  $              54,107	  	  	  $          4,107	 8%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/14/2010	 0.64	  $              54,107	 773	  $              5,936	  	  
6/15/2010	  	  $              60,043	 858	  $                       -	  	  
6/16/2010	 0.08	  $              60,043	 858	  $                  823	  	  
6/17/2010	 -0.10	  $              60,867	 870	  $            (1,043)	  	  
6/18/2010	 -0.08	  $              59,823	 855	  $               (820)	  	  
 	  	  $              59,003	  	  	  $          4,896	 9%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/21/2010	 -0.20	  $              59,003	 843	  $            (2,023)	  	  
6/22/2010	 -0.13	  $              56,980	 814	  $            (1,270)	  	  
6/23/2010	 0.10	  $              55,710	 796	  $                  955	  	  
6/24/2010	 0.00	  $              56,665	 810	  $                       -	  	  
6/25/2010	 0.11	  $              56,665	 810	  $              1,069	  	  
 	  	  $              57,734	  	  	  $        (1,269)	 -2%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
6/28/2010	 0.29	  $              57,734	 825	  $              2,870	  	  
6/29/2010	 -0.36	  $              60,604	 866	  $            (3,740)	  	  
6/30/2010	 0.68	  $              56,864	 812	  $              6,629	  	  
7/1/2010	 0.57	  $              63,493	 907	  $              6,204	  	  
7/2/2010	 -0.21	  $              69,697	 996	  $            (2,509)	  	  
 	  	  $              67,188	  	  	  $          9,454	 16%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
7/5/2010	  	  $              67,188	 960	  $                       -	  	  
7/6/2010	 0.60	  $              67,188	 960	  $              6,911	  	  
7/7/2010	 -0.21	  $              74,098	 1059	  $            (2,668)	  	  
7/8/2010	 -0.21	  $              71,431	 1020	  $            (2,572)	  	  
7/9/2010	 0.27	  $              68,859	 984	  $              3,187	  	  
 	  	  $              72,046	  	  	  $          4,859	 7%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
7/12/2010	 0.25	  $              72,046	 1029	  $              3,088	  	  
7/13/2010	 0.23	  $              75,134	 1073	  $              2,962	  	  
7/14/2010	 -0.16	  $              78,097	 1116	  $            (2,142)	  	  
7/15/2010	 0.52	  $              75,954	 1085	  $              6,771	  	  
7/16/2010	 -0.22	  $              82,725	 1182	  $            (3,120)	  	  
 	  	  $              79,605	  	  	  $          7,559	 10%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
7/19/2010	 0.38	  $              79,605	 1137	  $              5,186	  	  
7/20/2010	 -0.50	  $              84,791	 1211	  $            (7,268)	  	  
7/21/2010	 -0.13	  $              77,523	 1107	  $            (1,728)	  	  
7/22/2010	 0.03	  $              75,796	 1083	  $                  390	  	  
